Serial,Anio,FechaRegistro,Ciudad,Direccion,ValorTasado,MontoVenta,RatioVenta,TipoPropiedad,TipoResidencial,codigoNoUso,observaciones,observacionesOPM,ubicacion,,,,,
90340,2009,07/01/2010,Vernon,51 ELIZABETH LN,166030.00,259900.00,0.638822624,Condo,Condo,,,,,,,,,
90309,2009,04/01/2010,Southington,357 CAPTAIN LEWIS DR,66010.00,70000.00,0.943,,,,,,,,,,,
90304,2009,05/07/2010,Norwich,14 ASYLUM ST,82000.00,150000.00,0.546666667,,,,,,,,,,,
90299,2009,03/09/2010,Manchester,20 JOLLY LANE,81500.00,140000.00,0.582142857,,,,,,,,,,,
90287,2009,04/12/2010,Wallingford,467 NORTH MAIN ST,76440.00,195000.00,0.392,,,,,,,,,,,
90270,2009,06/18/2010,Windsor,91 VICTORIA ST,52990.00,87000.00,0.60908046,Condo,Condo,,,,,,,,,
90263,2009,01/26/2010,New Britain,54 WEST MAIN ST,119910.00,150000.00,0.7994,,,,,,,,,,,
90261,2009,07/26/2010,Avon,41 STOCKBRIDGE DRIVE,262500.00,308000.00,0.852272727,,,,,,,,,,,
90247,2009,09/20/2010,Plainville,62 WEST MAIN ST,161560.00,200000.00,0.8078,,,,,,,,,,,
90245,2009,07/01/2010,East Lyme,POINT ROAD,0.00,300000.00,0,,,06 - Portion of Property,SPLIT,,,,,,,
90245,2009,07/01/2010,Avon,15 HERITAGE DRIVE,145150.00,220400.00,0.658575318,Condo,Condo,,,,,,,,,
90237,2009,06/01/2010,Southbury,572 A HERITAGE VLG,131730.00,125000.00,1.05384,Condo,Condo,,,,,,,,,
90236,2009,05/03/2010,Groton,15 CROWN KNOLL CT,113680.00,160000.00,0.7105,Condo,Condo,,,,,,,,,
90223,2009,04/22/2010,Groton,184 ROUTE 12,912660.00,1950000.00,0.468030769,,,,,,,,,,,
90219,2009,09/07/2010,Cromwell,10 JENNIFER LANE,107550.00,160000.00,0.6721875,,,,,,,,,,,
